"","Fecha","campaign_id","Cantidad_llamadas"
"618",2019-11-22,10006,65
"619",2019-11-23,10006,5
"620",2019-11-25,10006,91
"621",2019-11-26,10006,82
"622",2019-11-27,10006,80
"623",2019-11-28,10006,97
"624",2019-11-29,10006,82
"625",2019-11-30,10006,5
"626",2019-12-02,10006,85
"627",2019-12-03,10006,92
"628",2019-12-04,10006,58
"629",2019-12-05,10006,79
"630",2019-12-06,10006,90
"631",2019-12-07,10006,16
"632",2019-12-09,10006,93
"633",2019-12-10,10006,79
"634",2019-12-11,10006,63
"635",2019-12-12,10006,71
"636",2019-12-13,10006,72
"637",2019-12-14,10006,19
"638",2019-12-16,10006,90
"639",2019-12-17,10006,58
"640",2019-12-18,10006,83
"641",2019-12-19,10006,81
"642",2019-12-20,10006,98
"643",2019-12-21,10006,9
"644",2019-12-23,10006,66
"645",2019-12-24,10006,68
"646",2019-12-26,10006,50
"647",2019-12-27,10006,55
"648",2019-12-28,10006,5
"649",2019-12-30,10006,88
"650",2019-12-31,10006,24
"651",2020-01-02,10006,112
"652",2020-01-03,10006,81
"653",2020-01-04,10006,6
"654",2020-01-07,10006,91
"655",2020-01-08,10006,111
"656",2020-01-09,10006,86
"657",2020-01-10,10006,88
"658",2020-01-11,10006,7
"659",2020-01-13,10006,106
"660",2020-01-14,10006,86
"661",2020-01-15,10006,90
"662",2020-01-16,10006,93
"663",2020-01-17,10006,77
"664",2020-01-18,10006,12
"665",2020-01-20,10006,95
"666",2020-01-21,10006,81
"667",2020-01-22,10006,71
"668",2020-01-23,10006,54
"669",2020-01-24,10006,47
"670",2020-01-25,10006,12
"671",2020-01-27,10006,65
"672",2020-01-28,10006,78
"673",2020-01-29,10006,66
"674",2020-01-30,10006,71
"675",2020-01-31,10006,68
"676",2020-02-01,10006,12
"677",2020-02-03,10006,77
"678",2020-02-04,10006,81
"679",2020-02-05,10006,84
"680",2020-02-06,10006,58
"681",2020-02-07,10006,71
"682",2020-02-08,10006,14
"683",2020-02-10,10006,76
"684",2020-02-11,10006,78
"685",2020-02-12,10006,74
"686",2020-02-13,10006,69
"687",2020-02-14,10006,65
"688",2020-02-15,10006,5
"689",2020-02-17,10006,74
"690",2020-02-18,10006,66
"691",2020-02-19,10006,95
"692",2020-02-20,10006,104
"693",2020-02-21,10006,60
"694",2020-02-22,10006,9
"695",2020-02-24,10006,73
"696",2020-02-25,10006,55
"697",2020-02-26,10006,89
"698",2020-02-27,10006,14
"699",2020-02-28,10006,42
"700",2020-02-29,10006,6
"701",2020-03-02,10006,77
"702",2020-03-03,10006,70
"703",2020-03-04,10006,76
"704",2020-03-05,10006,66
"705",2020-03-06,10006,82
"706",2020-03-07,10006,11
"707",2020-03-09,10006,63
"708",2020-03-10,10006,56
"709",2020-03-11,10006,51
"710",2020-03-12,10006,49
"711",2020-03-13,10006,51
"712",2020-03-14,10006,9
"713",2020-03-16,10006,62
"714",2020-03-17,10006,86
"715",2020-03-18,10006,89
"716",2020-03-19,10006,44
"717",2020-03-20,10006,36
"718",2020-03-21,10006,5
"719",2020-03-24,10006,43
"720",2020-03-25,10006,25
"721",2020-03-26,10006,31
"722",2020-03-27,10006,29
"723",2020-03-28,10006,2
"724",2020-03-30,10006,32
"725",2020-03-31,10006,31
"726",2020-04-01,10006,18
"727",2020-04-02,10006,17
"728",2020-04-03,10006,23
"729",2020-04-06,10006,18
"730",2020-04-07,10006,28
"731",2020-04-08,10006,25
"732",2020-04-13,10006,20
"733",2020-04-14,10006,26
"734",2020-04-15,10006,19
"735",2020-04-16,10006,15
"736",2020-04-17,10006,17
"737",2020-04-20,10006,31
"738",2020-04-21,10006,70
"739",2020-04-22,10006,38
"740",2020-04-23,10006,41
"741",2020-04-24,10006,24
"742",2020-04-25,10006,57
"743",2020-04-27,10006,94
"744",2020-04-28,10006,72
"745",2020-04-29,10006,99
"746",2020-04-30,10006,134
"747",2020-05-04,10006,94
"748",2020-05-05,10006,119
"749",2020-05-06,10006,80
"750",2020-05-07,10006,128
"751",2020-05-08,10006,53
"752",2020-05-11,10006,72
"753",2020-05-12,10006,46
"754",2020-05-13,10006,20
"755",2020-05-14,10006,36
"756",2020-05-15,10006,32
"757",2020-05-18,10006,31
"758",2020-05-19,10006,18
"759",2020-05-20,10006,30
"760",2020-05-21,10006,25
"761",2020-05-22,10006,23
"762",2020-05-26,10006,37
"763",2020-05-27,10006,26
"764",2020-05-28,10006,39
"765",2020-05-29,10006,52
"766",2020-06-01,10006,57
"767",2020-06-02,10006,45
"768",2020-06-03,10006,60
"769",2020-06-04,10006,43
"770",2020-06-05,10006,57
"771",2020-06-06,10006,15
"772",2020-06-08,10006,66
"773",2020-06-09,10006,74
"774",2020-06-10,10006,70
"775",2020-06-11,10006,56
"776",2020-06-12,10006,38
"777",2020-06-13,10006,8
"778",2020-06-16,10006,59
"779",2020-06-17,10006,66
"780",2020-06-18,10006,53
"781",2020-06-19,10006,42
"782",2020-06-20,10006,12
"783",2020-06-23,10006,56
"784",2020-06-24,10006,53
"785",2020-06-25,10006,44
"786",2020-06-26,10006,65
"787",2020-06-27,10006,7
"788",2020-06-30,10006,41
"789",2020-07-01,10006,63
"790",2020-07-02,10006,47
"791",2020-07-03,10006,50
"792",2020-07-04,10006,14
"793",2020-07-06,10006,52
"794",2020-07-07,10006,73
"795",2020-07-08,10006,57
"796",2020-07-09,10006,55
"797",2020-07-10,10006,50
"798",2020-07-11,10006,13
"799",2020-07-13,10006,72
"800",2020-07-14,10006,48
"801",2020-07-15,10006,71
"802",2020-07-16,10006,69
"803",2020-07-17,10006,50
"804",2020-07-18,10006,5
"805",2020-07-21,10006,47
"806",2020-07-22,10006,63
"807",2020-07-23,10006,44
"808",2020-07-24,10006,71
"809",2020-07-25,10006,9
"810",2020-07-27,10006,56
"811",2020-07-28,10006,45
"812",2020-07-29,10006,58
"813",2020-07-30,10006,50
"814",2020-07-31,10006,48
"815",2020-08-01,10006,8
"816",2020-08-03,10006,34
"817",2020-08-04,10006,29
"818",2020-08-05,10006,42
"819",2020-08-06,10006,40
"820",2020-08-08,10006,10
"821",2020-08-10,10006,60
